customer_id,total_rides,avg_rating_given
CUST_1000,5,4.34
CUST_1001,4,3.7
CUST_1002,2,4.6
CUST_1003,3,3.766666666666667
CUST_1004,4,3.7750000000000004
CUST_1005,3,4.233333333333333
CUST_1006,2,3.9000000000000004
CUST_1007,2,4.35
CUST_1008,5,3.9
CUST_1009,5,4.24
CUST_1010,5,3.96
CUST_1011,5,3.6399999999999997
CUST_1012,2,3.25
CUST_1013,5,3.9200000000000004
CUST_1014,2,4.2
CUST_1015,1,4.9
CUST_1016,5,4.380000000000001
CUST_1017,4,3.5749999999999997
CUST_1018,2,3.4
CUST_1019,4,4.375
CUST_1020,4,4.1
CUST_1021,1,3.1
CUST_1022,3,3.8666666666666667
CUST_1023,5,3.9
CUST_1024,4,3.7
CUST_1025,5,4.18
CUST_1026,3,3.966666666666667
CUST_1027,2,4.0
CUST_1028,1,4.4
CUST_1029,2,3.7
CUST_1030,1,4.4
CUST_1031,2,4.25
CUST_1032,3,3.866666666666667
CUST_1033,3,4.0
CUST_1034,4,3.925
CUST_1035,4,3.875
CUST_1036,5,3.88
CUST_1037,3,4.2
CUST_1039,1,4.6
CUST_1040,5,4.46
CUST_1041,2,3.35
CUST_1042,4,3.925
CUST_1043,5,4.2
CUST_1044,5,4.159999999999999
CUST_1045,5,4.08
CUST_1046,4,3.975
CUST_1047,3,4.5
CUST_1048,2,3.25
CUST_1049,3,4.3999999999999995
CUST_1050,7,4.485714285714286
CUST_1051,3,3.5666666666666664
CUST_1052,3,3.633333333333333
CUST_1053,2,4.0
CUST_1054,4,4.2
CUST_1055,3,4.266666666666667
CUST_1056,6,3.983333333333333
CUST_1057,2,3.55
CUST_1058,4,4.3500000000000005
CUST_1059,3,3.8000000000000003
CUST_1060,7,3.5714285714285716
CUST_1061,3,4.633333333333334
CUST_1062,3,3.866666666666667
CUST_1063,3,3.6333333333333333
CUST_1064,1,3.0
CUST_1065,1,4.8
CUST_1066,3,4.0
CUST_1067,3,4.133333333333333
CUST_1068,4,3.875
CUST_1069,1,3.8
CUST_1070,9,3.9555555555555557
CUST_1071,5,4.16
CUST_1072,4,4.2
CUST_1073,2,3.7
CUST_1074,3,4.433333333333334
CUST_1075,1,5.0
CUST_1076,6,3.85
CUST_1077,2,4.15
CUST_1078,3,3.766666666666667
CUST_1079,3,4.233333333333333
CUST_1080,4,4.15
CUST_1081,5,4.08
CUST_1082,5,4.279999999999999
CUST_1083,3,4.5
CUST_1084,5,4.2
CUST_1085,3,4.166666666666667
CUST_1086,3,4.166666666666667
CUST_1087,3,3.766666666666666
CUST_1088,1,3.6
CUST_1089,2,3.55
CUST_1090,1,4.3
CUST_1091,5,3.88
CUST_1092,3,4.033333333333333
CUST_1093,2,3.5
CUST_1094,2,3.75
CUST_1095,5,3.66
CUST_1096,7,4.142857142857143
CUST_1097,3,4.3
CUST_1098,1,4.4
CUST_1099,2,3.8
CUST_1100,5,3.9799999999999995
CUST_1102,4,4.1
CUST_1103,3,4.266666666666667
CUST_1104,7,3.8428571428571425
CUST_1105,5,4.1
CUST_1106,4,4.325
CUST_1107,4,4.625
CUST_1108,5,3.72
CUST_1109,1,4.3
CUST_1110,4,3.65
CUST_1111,2,4.0
CUST_1112,4,4.025
CUST_1113,3,4.3
CUST_1114,4,4.0
CUST_1115,1,4.0
CUST_1116,5,3.8200000000000003
CUST_1117,3,3.966666666666667
CUST_1118,6,3.5333333333333337
CUST_1119,4,3.9499999999999997
CUST_1120,3,4.033333333333334
CUST_1121,6,4.016666666666667
CUST_1124,5,3.8
CUST_1125,4,4.025
CUST_1126,2,4.15
CUST_1127,1,4.8
CUST_1128,4,3.9499999999999997
CUST_1129,5,3.9799999999999995
CUST_1130,8,3.9749999999999996
CUST_1131,3,3.9333333333333336
CUST_1132,7,4.628571428571428
CUST_1133,2,3.7
CUST_1134,2,3.85
CUST_1135,2,3.75
CUST_1136,4,4.1
CUST_1137,5,3.94
CUST_1138,8,3.7875
CUST_1139,5,4.24
CUST_1141,3,3.6333333333333333
CUST_1142,3,3.7999999999999994
CUST_1143,2,4.199999999999999
CUST_1144,3,4.166666666666667
CUST_1145,6,3.783333333333333
CUST_1146,3,3.766666666666667
CUST_1147,1,4.5
CUST_1148,2,4.75
CUST_1149,6,3.75
CUST_1150,2,3.5999999999999996
CUST_1151,5,3.8600000000000003
CUST_1152,4,3.75
CUST_1153,4,3.825
CUST_1154,3,4.5
CUST_1155,3,3.8000000000000003
CUST_1156,1,4.6
CUST_1157,5,3.8
CUST_1158,6,3.8666666666666667
CUST_1159,7,4.171428571428572
CUST_1160,2,4.6
CUST_1161,4,4.075
CUST_1162,5,4.04
CUST_1163,2,3.4
CUST_1164,1,4.0
CUST_1166,3,3.8666666666666667
CUST_1167,4,4.075
CUST_1168,4,3.475
CUST_1169,4,4.425
CUST_1170,6,3.716666666666667
CUST_1171,4,3.825
CUST_1172,2,4.3
CUST_1173,7,4.3
CUST_1174,4,4.4
CUST_1175,4,3.525
CUST_1176,5,4.0600000000000005
CUST_1178,3,3.9
CUST_1179,3,3.966666666666667
CUST_1180,3,3.4
CUST_1181,4,3.7249999999999996
CUST_1182,2,4.8
CUST_1183,6,4.233333333333333
CUST_1185,4,3.5
CUST_1186,4,3.625
CUST_1187,4,4.1
CUST_1188,5,4.1
CUST_1189,2,4.1
CUST_1190,4,4.25
CUST_1191,2,4.2
CUST_1192,2,3.8499999999999996
CUST_1193,3,3.3666666666666667
CUST_1194,4,4.125
CUST_1195,3,3.9
CUST_1196,5,4.159999999999999
CUST_1197,5,3.6
CUST_1198,4,4.525
CUST_1199,4,3.775
CUST_1200,4,3.775
CUST_1201,3,3.6666666666666665
CUST_1202,7,4.128571428571428
CUST_1203,4,4.0
CUST_1204,2,4.4
CUST_1205,1,4.0
CUST_1206,6,3.766666666666667
CUST_1207,2,4.0
CUST_1208,6,4.25
CUST_1209,3,4.1000000000000005
CUST_1210,3,3.466666666666667
CUST_1211,2,3.9000000000000004
CUST_1212,4,3.525
CUST_1213,3,4.033333333333333
CUST_1214,2,4.1
CUST_1215,5,4.38
