driver_id,total_rides,avg_rating,cancel_rate
DR_100,36,4.0,0.05555555555555555
DR_101,30,4.03,0.06666666666666667
DR_102,43,4.123255813953489,0.06976744186046512
DR_103,39,4.071794871794872,0.0
DR_104,43,3.988372093023256,0.06976744186046512
DR_105,32,4.2125,0.03125
DR_106,34,4.020588235294118,0.0
DR_107,43,3.988372093023256,0.09302325581395349
DR_108,31,4.274193548387097,0.03225806451612903
DR_109,28,4.167857142857143,0.10714285714285714
DR_110,31,4.083870967741936,0.03225806451612903
DR_111,30,3.9566666666666666,0.06666666666666667
DR_112,35,4.054285714285714,0.02857142857142857
DR_113,32,4.078125,0.03125
DR_114,44,3.9704545454545452,0.022727272727272728
DR_115,31,3.990322580645161,0.0
DR_116,32,4.040625,0.0625
DR_117,25,4.256,0.04
DR_118,43,4.069767441860465,0.0
DR_119,27,3.911111111111111,0.1111111111111111
DR_120,33,4.033333333333333,0.0
DR_121,39,3.9051282051282055,0.05128205128205128
DR_122,26,4.046153846153846,0.038461538461538464
DR_123,34,4.020588235294118,0.029411764705882353
DR_124,38,4.007894736842106,0.02631578947368421
DR_125,29,4.2620689655172415,0.0
DR_126,45,3.904444444444444,0.044444444444444446
DR_127,35,4.180000000000001,0.05714285714285714
DR_128,31,4.061290322580645,0.0
DR_129,31,4.061290322580645,0.03225806451612903
DR_130,47,3.8489361702127662,0.1276595744680851
DR_131,43,3.967441860465116,0.023255813953488372
DR_132,27,3.974074074074074,0.0
DR_133,38,3.952631578947368,0.05263157894736842
DR_134,36,4.177777777777778,0.08333333333333333
DR_135,32,3.93125,0.0625
DR_136,34,3.911764705882353,0.0
DR_137,36,4.011111111111111,0.05555555555555555
DR_138,35,3.991428571428571,0.08571428571428572
DR_139,30,3.8800000000000003,0.1
DR_140,28,4.0964285714285715,0.0
DR_141,33,4.075757575757576,0.06060606060606061
DR_142,32,3.959375,0.09375
DR_143,32,3.9625,0.03125
DR_144,36,4.066666666666666,0.08333333333333333
DR_145,31,3.729032258064516,0.12903225806451613
